"행정구역","2014년_남_총인구수","2014년_남_연령구간인구수","2014년_남_0~9세","2014년_남_10~19세","2014년_남_20~29세","2014년_남_30~39세","2014년_남_40~49세","2014년_남_50~59세","2014년_남_60~69세","2014년_남_70~79세","2014년_남_80~89세","2014년_남_90~99세","2014년_남_100세 이상","2014년_여_총인구수","2014년_여_연령구간인구수","2014년_여_0~9세","2014년_여_10~19세","2014년_여_20~29세","2014년_여_30~39세","2014년_여_40~49세","2014년_여_50~59세","2014년_여_60~69세","2014년_여_70~79세","2014년_여_80~89세","2014년_여_90~99세","2014년_여_100세 이상","2015년_남_총인구수","2015년_남_연령구간인구수","2015년_남_0~9세","2015년_남_10~19세","2015년_남_20~29세","2015년_남_30~39세","2015년_남_40~49세","2015년_남_50~59세","2015년_남_60~69세","2015년_남_70~79세","2015년_남_80~89세","2015년_남_90~99세","2015년_남_100세 이상","2015년_여_총인구수","2015년_여_연령구간인구수","2015년_여_0~9세","2015년_여_10~19세","2015년_여_20~29세","2015년_여_30~39세","2015년_여_40~49세","2015년_여_50~59세","2015년_여_60~69세","2015년_여_70~79세","2015년_여_80~89세","2015년_여_90~99세","2015년_여_100세 이상","2016년_남_총인구수","2016년_남_연령구간인구수","2016년_남_0~9세","2016년_남_10~19세","2016년_남_20~29세","2016년_남_30~39세","2016년_남_40~49세","2016년_남_50~59세","2016년_남_60~69세","2016년_남_70~79세","2016년_남_80~89세","2016년_남_90~99세","2016년_남_100세 이상","2016년_여_총인구수","2016년_여_연령구간인구수","2016년_여_0~9세","2016년_여_10~19세","2016년_여_20~29세","2016년_여_30~39세","2016년_여_40~49세","2016년_여_50~59세","2016년_여_60~69세","2016년_여_70~79세","2016년_여_80~89세","2016년_여_90~99세","2016년_여_100세 이상","2017년_남_총인구수","2017년_남_연령구간인구수","2017년_남_0~9세","2017년_남_10~19세","2017년_남_20~29세","2017년_남_30~39세","2017년_남_40~49세","2017년_남_50~59세","2017년_남_60~69세","2017년_남_70~79세","2017년_남_80~89세","2017년_남_90~99세","2017년_남_100세 이상","2017년_여_총인구수","2017년_여_연령구간인구수","2017년_여_0~9세","2017년_여_10~19세","2017년_여_20~29세","2017년_여_30~39세","2017년_여_40~49세","2017년_여_50~59세","2017년_여_60~69세","2017년_여_70~79세","2017년_여_80~89세","2017년_여_90~99세","2017년_여_100세 이상","2018년_남_총인구수","2018년_남_연령구간인구수","2018년_남_0~9세","2018년_남_10~19세","2018년_남_20~29세","2018년_남_30~39세","2018년_남_40~49세","2018년_남_50~59세","2018년_남_60~69세","2018년_남_70~79세","2018년_남_80~89세","2018년_남_90~99세","2018년_남_100세 이상","2018년_여_총인구수","2018년_여_연령구간인구수","2018년_여_0~9세","2018년_여_10~19세","2018년_여_20~29세","2018년_여_30~39세","2018년_여_40~49세","2018년_여_50~59세","2018년_여_60~69세","2018년_여_70~79세","2018년_여_80~89세","2018년_여_90~99세","2018년_여_100세 이상","2019년_남_총인구수","2019년_남_연령구간인구수","2019년_남_0~9세","2019년_남_10~19세","2019년_남_20~29세","2019년_남_30~39세","2019년_남_40~49세","2019년_남_50~59세","2019년_남_60~69세","2019년_남_70~79세","2019년_남_80~89세","2019년_남_90~99세","2019년_남_100세 이상","2019년_여_총인구수","2019년_여_연령구간인구수","2019년_여_0~9세","2019년_여_10~19세","2019년_여_20~29세","2019년_여_30~39세","2019년_여_40~49세","2019년_여_50~59세","2019년_여_60~69세","2019년_여_70~79세","2019년_여_80~89세","2019년_여_90~99세","2019년_여_100세 이상"
"전국  (0000000000)","25,669,296","25,669,296","2,363,080","3,130,485","3,490,614","3,985,799","4,544,382","4,137,985","2,284,239","1,341,009","351,569","36,634","3,500","25,658,620","25,658,620","2,228,294","2,858,419","3,151,430","3,826,048","4,385,834","4,078,176","2,421,869","1,805,595","772,574","118,875","11,506","25,758,186","25,758,186","2,365,981","2,980,812","3,527,813","3,919,396","4,505,612","4,196,330","2,462,313","1,366,101","391,673","38,373","3,782","25,771,152","25,771,152","2,235,707","2,736,277","3,171,235","3,751,570","4,353,381","4,128,461","2,610,966","1,810,336","833,537","127,255","12,427","25,827,594","25,827,594","2,345,162","2,852,009","3,560,115","3,852,019","4,460,821","4,260,102","2,612,977","1,407,287","432,612","40,353","4,137","25,868,622","25,868,622","2,221,006","2,629,029","3,198,313","3,682,121","4,336,232","4,164,559","2,763,444","1,831,832","892,682","135,979","13,425","25,855,919","25,855,919","2,277,849","2,757,691","3,587,959","3,772,868","4,416,852","4,281,397","2,758,597","1,482,178","473,039","43,465","4,024","25,922,625","25,922,625","2,157,349","2,546,734","3,223,008","3,595,781","4,285,900","4,208,807","2,898,667","1,896,928","946,560","149,065","13,826","25,866,129","25,866,129","2,208,857","2,662,198","3,591,833","3,723,573","4,316,614","4,339,203","2,907,138","1,549,636","515,449","47,301","4,327","25,959,930","25,959,930","2,094,205","2,468,955","3,232,140","3,546,570","4,171,973","4,276,681","3,042,501","1,948,300","1,001,543","162,606","14,456","25,864,816","25,864,816","2,138,215","2,568,963","3,582,927","3,631,290","4,260,978","4,366,687","3,085,712","1,607,050","565,417","52,747","4,830","25,985,045","25,985,045","2,028,699","2,390,047","3,227,429","3,439,734","4,122,252","4,300,690","3,224,939","1,988,994","1,067,919","179,012","15,330"
"서울특별시  (1100000000)","4,979,768","4,979,768","407,662","541,899","728,892","861,605","865,039","779,817","467,767","259,471","58,891","7,516","1,209","5,123,465","5,123,465","386,330","502,614","729,059","852,061","864,430","824,343","512,453","309,377","118,448","20,888","3,462","4,930,943","4,930,943","401,797","510,041","723,200","837,657","849,573","773,917","492,879","266,597","66,262","7,727","1,293","5,091,238","5,091,238","381,502","475,749","724,021","830,596","852,036","814,416","544,873","315,770","126,539","21,992","3,744","4,876,789","4,876,789","390,234","482,451","719,783","812,434","834,115","768,802","510,048","275,842","73,628","8,046","1,406","5,053,827","5,053,827","371,080","451,754","722,918","808,540","844,057","801,235","566,222","326,699","134,088","23,165","4,069","4,830,206","4,830,206","373,353","461,597","720,019","790,867","818,309","759,316","525,418","290,349","81,165","8,485","1,328","5,027,220","5,027,220","355,109","433,059","727,096","788,322","829,680","794,227","583,634","344,960","141,948","24,994","4,191","4,773,899","4,773,899","353,981","440,320","716,197","774,185","789,945","756,599","540,814","301,846","89,309","9,253","1,450","4,991,724","4,991,724","336,387","414,801","733,593","774,585","800,429","790,355","601,601","358,979","149,560","27,041","4,393","4,744,059","4,744,059","340,334","421,339","713,660","754,830","773,528","754,442","562,796","311,890","99,231","10,413","1,596","4,985,048","4,985,048","322,359","398,232","742,963","755,129","787,455","785,526","627,006","372,197","160,256","29,277","4,648"
"부산광역시  (2600000000)","1,740,417","1,740,417","135,643","193,460","240,890","257,595","286,145","305,016","194,049","103,080","22,299","1,932","308","1,778,984","1,778,984","128,124","173,309","216,007","247,221","290,342","325,381","207,756","132,494","50,429","6,822","1,099","1,735,570","1,735,570","137,437","181,499","240,807","252,411","282,846","299,943","207,555","105,634","25,040","2,078","320","1,778,207","1,778,207","129,790","164,004","215,707","241,547","285,372","319,760","225,344","134,007","54,088","7,419","1,169","1,725,607","1,725,607","137,211","170,051","240,023","247,173","277,750","296,187","217,159","109,498","27,973","2,242","340","1,772,922","1,772,922","129,876","155,159","215,176","236,343","280,578","314,213","237,292","137,085","57,860","8,095","1,245","1,709,508","1,709,508","132,924","161,776","237,994","239,058","272,484","290,091","225,566","115,940","30,902","2,446","327","1,761,145","1,761,145","125,808","148,268","213,797","228,566","272,568","309,453","247,051","143,963","61,251","9,133","1,287","1,692,421","1,692,421","129,189","153,988","233,755","232,045","264,732","286,694","232,593","122,330","34,037","2,709","349","1,749,032","1,749,032","122,253","142,157","210,982","222,666","262,315","306,495","255,534","150,662","64,638","10,014","1,316","1,675,417","1,675,417","124,927","146,787","228,729","222,456","260,329","282,121","241,026","127,675","37,883","3,095","389","1,738,424","1,738,424","118,394","136,453","207,420","213,254","257,453","300,978","266,221","156,435","69,443","10,972","1,401"
"대구광역시  (2700000000)","1,241,119","1,241,119","107,712","163,373","178,208","176,611","219,647","204,976","111,805","62,202","15,276","1,202","107","1,252,145","1,252,145","100,812","143,723","145,728","176,626","226,441","210,705","123,603","86,366","33,329","4,418","394","1,237,291","1,237,291","107,230","153,618","179,517","172,408","216,253","206,822","120,190","62,625","17,216","1,292","120","1,250,538","1,250,538","100,885","135,972","147,238","170,225","222,421","212,831","133,503","86,259","36,066","4,715","423","1,234,169","1,234,169","106,297","145,053","180,511","168,980","212,242","208,457","128,112","63,920","19,088","1,374","135","1,250,388","1,250,388","100,739","129,074","149,416","164,788","219,580","213,758","142,070","86,615","38,846","5,046","456","1,227,814","1,227,814","103,263","138,062","180,803","165,043","207,430","208,665","134,676","67,223","20,941","1,571","137","1,247,417","1,247,417","97,780","123,694","151,409","158,972","213,716","216,012","148,242","90,071","41,516","5,527","478","1,219,342","1,219,342","99,981","131,186","179,001","162,884","199,424","211,453","139,864","70,859","22,807","1,738","145","1,242,427","1,242,427","94,972","118,486","151,844","155,094","204,846","219,690","152,886","93,727","44,262","6,137","483","1,205,286","1,205,286","96,593","124,289","174,194","157,920","194,076","209,676","147,322","73,829","25,304","1,925","158","1,232,745","1,232,745","91,719","112,909","149,447","148,066","199,311","218,573","161,475","96,283","47,754","6,688","520"
"인천광역시  (2800000000)","1,459,074","1,459,074","138,692","176,355","207,147","236,690","263,092","245,430","115,448","59,111","15,031","1,917","161","1,443,534","1,443,534","131,464","163,513","191,244","224,570","257,978","236,870","117,541","79,443","34,920","5,534","457","1,469,869","1,469,869","139,490","167,985","209,317","234,355","260,769","251,005","126,517","61,342","16,942","1,959","188","1,455,946","1,455,946","132,268","156,545","192,796","221,543","255,336","243,114","129,317","80,805","37,708","6,001","513","1,477,671","1,477,671","138,170","160,974","211,969","231,409","259,039","254,812","135,832","64,458","18,830","1,981","197","1,465,398","1,465,398","131,340","150,519","194,653","218,734","253,135","247,775","138,466","83,151","40,526","6,542","557","1,479,597","1,479,597","133,221","155,803","213,945","226,364","256,938","255,674","145,663","69,162","20,515","2,120","192","1,468,945","1,468,945","126,704","145,760","195,866","213,301","249,646","251,427","147,909","87,607","42,914","7,212","599","1,481,844","1,481,844","128,889","150,678","214,091","223,441","251,781","258,066","156,382","73,470","22,521","2,329","196","1,472,798","1,472,798","122,412","141,646","195,703","210,228","242,942","256,163","158,650","90,922","45,630","7,872","630","1,482,249","1,482,249","124,383","145,798","213,116","217,146","250,143","258,399","168,422","77,256","24,807","2,548","231","1,474,777","1,474,777","118,017","137,453","194,492","204,043","239,818","258,195","170,848","93,882","48,532","8,845","652"
"광주광역시  (2900000000)","731,339","731,339","74,962","107,786","102,607","114,241","129,505","104,883","56,741","31,890","8,003","690","31","744,545","744,545","70,194","99,885","94,933","113,579","130,585","107,953","62,903","43,052","18,229","2,963","269","729,662","729,662","74,210","102,409","103,425","110,965","128,541","107,153","60,367","32,892","8,925","742","33","742,537","742,537","69,490","94,596","95,261","110,071","129,508","110,213","66,981","43,597","19,421","3,118","281","728,137","728,137","72,616","97,444","105,349","107,247","127,153","110,127","63,057","34,528","9,767","810","39","741,077","741,077","68,341","90,160","96,053","106,148","128,800","112,787","69,811","44,766","20,603","3,292","316","725,295","725,295","69,981","93,536","106,689","103,442","125,703","111,569","66,055","36,676","10,704","902","38","738,475","738,475","65,892","86,271","96,921","102,080","127,501","114,366","72,620","47,068","21,852","3,597","307","722,581","722,581","67,673","89,182","107,730","101,066","122,452","114,276","69,143","38,267","11,778","973","41","736,755","736,755","63,604","82,705","98,013","99,354","123,939","117,008","76,138","48,733","23,142","3,789","330","720,740","720,740","65,084","85,378","108,393","97,812","121,383","115,453","73,079","39,981","12,971","1,157","49","735,728","735,728","61,435","79,053","99,055","95,131","123,183","117,827","80,290","50,714","24,503","4,187","350"
"대전광역시  (3000000000)","766,497","766,497","76,570","102,568","110,952","119,280","135,742","118,688","60,980","32,273","8,495","891","58","765,312","765,312","72,092","93,628","99,079","118,416","135,858","118,960","63,398","42,653","18,218","2,808","202","759,778","759,778","74,578","96,384","111,865","115,320","133,408","119,006","65,693","33,110","9,414","938","62","758,997","758,997","70,471","88,580","98,884","113,400","133,600","119,658","68,588","43,026","19,591","2,980","219","757,289","757,289","73,144","91,522","112,845","113,005","131,447","119,466","70,251","34,243","10,311","982","73","757,081","757,081","68,932","84,394","99,951","109,874","132,818","119,645","73,399","43,532","21,173","3,128","235","750,969","750,969","69,670","87,333","113,198","109,794","128,829","119,045","74,426","36,114","11,398","1,083","79","751,258","751,258","65,548","80,672","100,775","105,490","129,876","120,252","77,618","45,130","22,204","3,458","235","744,338","744,338","66,139","83,378","112,938","107,185","124,552","120,596","77,828","37,954","12,507","1,188","73","745,598","745,598","62,358","77,159","101,017","101,855","125,100","122,387","81,327","46,802","23,547","3,800","246","736,607","736,607","62,600","79,438","112,059","103,621","121,088","121,187","82,057","39,482","13,756","1,238","81","738,263","738,263","59,229","73,741","100,570","96,859","121,393","122,682","86,250","48,031","25,097","4,159","252"
"울산광역시  (3100000000)","600,904","600,904","59,477","78,992","87,089","95,170","108,594","101,344","46,606","19,272","4,024","311","25","565,473","565,473","55,383","69,068","69,048","87,494","107,644","94,866","43,936","25,513","10,823","1,595","103","604,889","604,889","60,066","74,447","89,039","94,855","106,106","104,156","51,359","19,968","4,524","343","26","568,645","568,645","56,175","65,511","69,576","85,978","105,882","97,234","49,109","25,849","11,487","1,731","113","603,797","603,797","59,830","70,341","89,203","92,915","103,270","106,288","55,466","21,133","4,969","354","28","568,507","568,507","56,091","62,371","69,501","84,229","103,565","98,807","53,514","26,228","12,245","1,846","110","599,480","599,480","58,121","67,173","87,948","89,790","101,208","107,075","59,321","22,967","5,475","374","28","565,652","565,652","54,320","59,721","69,018","81,275","100,487","100,567","57,663","27,477","12,955","2,044","125","593,819","593,819","55,907","64,182","85,599","87,270","98,205","107,974","63,245","24,983","6,011","411","32","561,804","561,804","52,456","57,358","67,760","78,938","96,220","102,518","61,673","28,899","13,643","2,213","126","589,712","589,712","53,757","61,537","83,553","84,210","96,712","107,891","68,074","26,701","6,780","466","31","558,307","558,307","50,614","55,196","65,584","75,533","94,059","103,468","66,577","30,245","14,442","2,462","127"
"세종특별자치시  (3600000000)","78,862","78,862","9,934","8,831","9,138","13,782","14,620","11,005","6,031","4,098","1,282","131","10","77,263","77,263","9,590","8,324","8,394","13,866","12,137","9,776","6,338","5,590","2,799","425","24","105,752","105,752","15,240","11,944","11,763","19,508","20,059","13,541","7,687","4,376","1,492","133","9","105,132","105,132","14,585","11,454","11,280","20,517","17,311","12,331","7,927","5,975","3,226","501","25","121,505","121,505","17,731","13,754","13,425","22,401","23,531","15,302","8,898","4,642","1,674","139","8","121,543","121,543","17,180","13,371","13,098","23,550","20,657","14,138","9,261","6,151","3,545","551","41","139,734","139,734","20,501","16,164","15,316","25,381","27,438","17,394","10,392","5,104","1,873","165","6","140,366","140,366","19,671","15,899","14,950","27,026","24,682","16,277","10,708","6,606","3,895","609","43","156,831","156,831","22,778","18,397","17,283","28,358","30,385","19,838","11,948","5,603","2,030","204","7","157,295","157,295","21,674","18,298","16,748","30,023","27,862","18,535","12,313","6,930","4,178","687","47","169,845","169,845","24,152","20,094","18,357","29,984","33,224","21,980","13,479","6,078","2,249","239","9","170,730","170,730","23,097","19,943","17,983","31,480","31,248","20,500","13,729","7,367","4,515","824","44"
"경기도  (4100000000)","6,219,813","6,219,813","638,761","796,331","835,647","1,008,909","1,170,831","976,022","457,911","258,459","68,300","7,909","733","6,138,017","6,138,017","605,212","737,550","772,783","982,642","1,132,536","920,011","479,047","341,241","142,545","22,424","2,026","6,299,812","6,299,812","642,120","766,451","857,498","999,370","1,168,724","1,007,720","503,469","268,417","76,988","8,263","792","6,222,794","6,222,794","609,114","713,288","787,372","969,800","1,134,213","954,283","524,243","347,781","155,943","24,541","2,216","6,395,453","6,395,453","641,534","744,447","881,412","994,253","1,169,765","1,041,164","545,447","281,482","86,322","8,751","876","6,321,327","6,321,327","609,576","695,068","805,838","961,693","1,142,765","984,794","564,773","358,667","169,018","26,706","2,429","6,475,323","6,475,323","629,189","728,790","901,746","986,741","1,171,811","1,062,080","588,623","300,552","95,624","9,338","829","6,398,572","6,398,572","597,311","681,846","819,778","948,248","1,142,149","1,015,676","603,754","376,762","181,075","29,433","2,540","6,577,501","6,577,501","620,423","714,370","917,804","996,212","1,163,422","1,091,730","638,843","318,110","105,476","10,199","912","6,499,652","6,499,652","589,433","670,526","831,250","953,359","1,127,809","1,054,247","651,059","392,354","194,348","32,577","2,690","6,659,995","6,659,995","607,414","698,188","931,439","988,359","1,163,371","1,115,137","694,626","332,647","116,360","11,422","1,032","6,579,671","6,579,671","577,576","657,274","839,256","937,468","1,126,827","1,083,691","704,746","404,625","208,980","36,346","2,882"
