"행정구역","2020년_남_총인구수","2020년_남_연령구간인구수","2020년_남_0~9세","2020년_남_10~19세","2020년_남_20~29세","2020년_남_30~39세","2020년_남_40~49세","2020년_남_50~59세","2020년_남_60~69세","2020년_남_70~79세","2020년_남_80~89세","2020년_남_90~99세","2020년_남_100세 이상","2020년_여_총인구수","2020년_여_연령구간인구수","2020년_여_0~9세","2020년_여_10~19세","2020년_여_20~29세","2020년_여_30~39세","2020년_여_40~49세","2020년_여_50~59세","2020년_여_60~69세","2020년_여_70~79세","2020년_여_80~89세","2020년_여_90~99세","2020년_여_100세 이상","2021년_남_총인구수","2021년_남_연령구간인구수","2021년_남_0~9세","2021년_남_10~19세","2021년_남_20~29세","2021년_남_30~39세","2021년_남_40~49세","2021년_남_50~59세","2021년_남_60~69세","2021년_남_70~79세","2021년_남_80~89세","2021년_남_90~99세","2021년_남_100세 이상","2021년_여_총인구수","2021년_여_연령구간인구수","2021년_여_0~9세","2021년_여_10~19세","2021년_여_20~29세","2021년_여_30~39세","2021년_여_40~49세","2021년_여_50~59세","2021년_여_60~69세","2021년_여_70~79세","2021년_여_80~89세","2021년_여_90~99세","2021년_여_100세 이상","2022년_남_총인구수","2022년_남_연령구간인구수","2022년_남_0~9세","2022년_남_10~19세","2022년_남_20~29세","2022년_남_30~39세","2022년_남_40~49세","2022년_남_50~59세","2022년_남_60~69세","2022년_남_70~79세","2022년_남_80~89세","2022년_남_90~99세","2022년_남_100세 이상","2022년_여_총인구수","2022년_여_연령구간인구수","2022년_여_0~9세","2022년_여_10~19세","2022년_여_20~29세","2022년_여_30~39세","2022년_여_40~49세","2022년_여_50~59세","2022년_여_60~69세","2022년_여_70~79세","2022년_여_80~89세","2022년_여_90~99세","2022년_여_100세 이상","2023년_남_총인구수","2023년_남_연령구간인구수","2023년_남_0~9세","2023년_남_10~19세","2023년_남_20~29세","2023년_남_30~39세","2023년_남_40~49세","2023년_남_50~59세","2023년_남_60~69세","2023년_남_70~79세","2023년_남_80~89세","2023년_남_90~99세","2023년_남_100세 이상","2023년_여_총인구수","2023년_여_연령구간인구수","2023년_여_0~9세","2023년_여_10~19세","2023년_여_20~29세","2023년_여_30~39세","2023년_여_40~49세","2023년_여_50~59세","2023년_여_60~69세","2023년_여_70~79세","2023년_여_80~89세","2023년_여_90~99세","2023년_여_100세 이상"
"전국  (0000000000)","25,841,029","25,841,029","2,035,712","2,478,773","3,573,667","3,541,548","4,214,971","4,362,544","3,298,604","1,664,340","608,461","57,058","5,351","25,987,994","25,987,994","1,934,358","2,314,563","3,232,486","3,331,569","4,079,816","4,282,470","3,445,902","2,033,906","1,120,961","195,402","16,561","25,746,684","25,746,684","1,927,798","2,431,349","3,491,682","3,472,711","4,150,248","4,366,299","3,508,745","1,683,401","654,228","58,851","1,372","25,892,125","25,892,125","1,832,552","2,277,967","3,164,241","3,250,724","4,016,544","4,268,912","3,655,967","2,031,683","1,181,253","205,693","6,589","25,636,951","25,636,951","1,810,379","2,423,599","3,361,589","3,428,864","4,098,998","4,353,321","3,635,619","1,746,555","714,247","62,519","1,261","25,802,087","25,802,087","1,722,263","2,279,597","3,055,592","3,186,647","3,974,119","4,258,743","3,767,920","2,079,162","1,256,346","215,226","6,472","25,565,736","25,565,736","1,708,010","2,393,339","3,236,838","3,420,991","4,028,250","4,385,550","3,755,827","1,818,730","748,225","68,553","1,423","25,759,593","25,759,593","1,624,882","2,258,121","2,960,648","3,154,557","3,893,884","4,310,149","3,874,881","2,147,473","1,296,799","231,085","7,114"
"서울특별시  (1100000000)","4,701,723","4,701,723","320,275","401,285","707,669","737,901","756,950","748,582","587,294","320,416","108,339","11,221","1,791","4,966,742","4,966,742","303,470","380,581","752,742","737,205","771,232","774,974","656,660","383,660","169,755","31,462","5,001","4,618,040","4,618,040","299,764","387,691","684,530","718,763","733,371","742,757","607,114","316,508","116,524","10,637","381","4,891,418","4,891,418","283,919","368,445","737,747","720,516","747,409","764,437","678,808","379,292","178,485","31,098","1,262","4,570,048","4,570,048","280,017","383,649","664,239","712,675","717,027","735,183","613,444","323,606","128,937","10,997","274","4,858,324","4,858,324","265,300","365,469","725,244","713,133","732,679","757,619","684,343","389,890","192,272","31,357","1,018","4,540,031","4,540,031","263,448","375,346","643,229","713,915","703,001","734,760","622,855","334,075","137,024","12,059","319","4,846,003","4,846,003","250,114","357,865","712,582","713,490","717,072","760,797","693,083","404,394","202,190","33,287","1,129"
"부산광역시  (2600000000)","1,661,000","1,661,000","119,173","140,558","224,517","214,297","257,288","276,068","251,584","132,206","41,604","3,285","420","1,730,946","1,730,946","113,183","131,456","206,470","204,717","253,860","292,845","280,036","161,093","74,076","11,743","1,467","1,639,044","1,639,044","112,744","137,079","215,370","207,947","253,509","270,303","258,914","134,692","45,094","3,330","62","1,711,336","1,711,336","106,867","129,026","200,179","197,353","248,882","284,465","289,964","163,436","78,697","12,127","340","1,619,915","1,619,915","105,853","136,736","204,011","203,555","249,657","265,463","261,894","139,436","49,735","3,502","73","1,697,897","1,697,897","100,524","129,198","191,387","192,872","245,085","278,259","293,965","169,282","84,413","12,579","333","1,605,431","1,605,431","99,689","135,082","193,992","201,309","244,820","264,670","264,259","144,256","53,412","3,880","62","1,687,931","1,687,931","94,714","128,257","183,595","189,350","239,896","277,255","296,461","176,151","88,494","13,388","370"
"대구광역시  (2700000000)","1,193,109","1,193,109","91,285","118,103","171,675","153,070","189,358","208,340","155,170","76,599","27,260","2,073","176","1,225,237","1,225,237","86,941","107,795","149,859","141,240","194,481","217,139","170,787","98,677","50,405","7,356","557","1,175,632","1,175,632","85,980","113,890","164,484","149,452","183,962","205,369","162,849","78,079","29,339","2,197","31","1,209,780","1,209,780","81,843","104,647","144,437","135,413","188,593","214,075","179,442","99,749","53,442","7,925","214","1,162,865","1,162,865","80,742","112,716","156,048","147,977","179,475","203,024","167,435","80,832","32,152","2,439","25","1,200,826","1,200,826","76,988","104,816","138,315","131,480","184,327","212,118","183,905","103,327","56,946","8,391","213","1,166,803","1,166,803","77,161","110,515","148,961","149,088","176,398","205,400","175,097","86,180","35,074","2,897","32","1,208,157","1,208,157","73,242","103,606","133,509","130,877","179,716","215,399","190,883","109,343","61,814","9,535","233"
"인천광역시  (2800000000)","1,473,943","1,473,943","117,356","141,025","209,363","210,025","247,402","256,037","182,261","80,868","26,682","2,665","259","1,468,885","1,468,885","111,278","133,137","192,183","196,121","236,575","256,130","185,618","96,635","50,822","9,676","710","1,476,373","1,476,373","111,554","139,390","203,834","208,279","246,522","255,130","197,657","82,211","28,963","2,749","84","1,472,002","1,472,002","105,830","131,741","187,217","193,812","234,544","255,839","201,471","97,033","53,890","10,292","333","1,485,175","1,485,175","107,055","140,015","196,168","210,534","247,077","254,486","207,816","87,126","31,935","2,887","76","1,482,139","1,482,139","101,887","132,725","180,358","194,728","234,771","255,165","212,647","100,973","57,721","10,817","347","1,499,016","1,499,016","103,733","139,614","188,915","215,282","247,250","256,886","218,084","91,836","34,124","3,192","100","1,498,394","1,498,394","98,596","132,465","175,188","197,803","233,530","259,147","223,327","105,989","60,273","11,685","391"
"광주광역시  (2900000000)","717,348","717,348","61,487","81,458","109,335","94,869","119,545","115,860","78,051","41,434","13,995","1,259","55","732,714","732,714","58,205","75,686","100,040","90,998","121,322","117,962","85,733","52,107","25,676","4,616","369","713,015","713,015","58,516","78,857","107,781","92,783","117,383","116,983","82,025","42,016","15,333","1,316","22","728,596","728,596","55,549","73,547","98,691","88,406","118,784","118,781","90,099","52,531","27,303","4,750","155","707,299","707,299","54,782","78,136","103,581","91,171","115,729","117,966","84,600","42,673","17,255","1,390","16","723,751","723,751","52,195","72,721","95,038","86,246","117,011","119,913","92,732","53,396","29,427","4,915","157","700,896","700,896","51,028","76,188","99,724","89,847","113,235","119,067","88,343","43,912","18,019","1,516","17","718,341","718,341","48,751","71,337","91,181","84,228","114,024","121,607","96,389","55,216","30,166","5,252","190"
"대전광역시  (3000000000)","730,699","730,699","58,822","75,777","111,421","101,293","118,238","120,638","87,060","41,509","14,485","1,367","89","733,183","733,183","55,707","70,659","101,067","92,795","118,978","121,283","92,093","49,811","26,034","4,474","282","724,626","724,626","55,295","73,527","109,664","99,378","115,072","119,967","92,406","42,139","15,747","1,405","26","727,625","727,625","52,253","68,648","99,733","90,291","115,946","120,050","98,108","50,251","27,452","4,750","143","721,245","721,245","52,537","72,535","106,826","98,898","112,804","119,574","95,583","43,612","17,301","1,549","26","724,827","724,827","49,696","67,753","97,061","89,093","113,850","119,686","101,672","51,517","29,340","5,004","155","719,292","719,292","49,790","71,227","104,190","99,375","109,916","121,334","97,866","45,677","18,132","1,753","32","722,924","722,924","46,937","66,609","95,038","88,590","110,215","121,924","104,160","53,463","30,441","5,368","179"
"울산광역시  (3100000000)","583,708","583,708","50,619","59,174","81,200","80,565","95,644","106,610","73,250","28,575","7,503","533","35","552,309","552,309","47,887","53,246","63,369","71,140","92,164","102,911","72,097","31,593","15,209","2,553","140","576,217","576,217","47,302","57,743","77,588","77,145","94,084","105,062","78,393","30,110","8,218","568","4","545,375","545,375","44,716","52,247","59,834","67,746","89,870","101,994","77,382","32,914","15,901","2,708","63","570,368","570,368","43,704","57,741","73,073","74,933","93,100","103,354","82,306","32,178","9,347","629","3","540,295","540,295","41,357","52,461","56,136","64,702","88,530","101,334","81,047","34,738","17,119","2,813","58","567,153","567,153","40,621","57,056","69,651","74,334","91,773","102,900","85,401","34,534","10,146","728","9","536,508","536,508","38,465","52,406","52,871","62,575","86,341","101,914","83,906","37,052","17,911","2,997","70"
"세종특별자치시  (3600000000)","177,568","177,568","24,188","21,419","19,050","30,004","35,188","23,494","14,935","6,602","2,415","263","10","178,263","178,263","23,095","21,258","18,403","31,488","33,643","21,711","15,204","7,790","4,694","937","40","185,678","185,678","23,984","23,081","19,728","30,131","36,831","25,581","16,596","6,870","2,606","263","7","186,217","186,217","23,079","22,713","18,782","31,588","35,933","23,295","16,926","7,905","4,951","1,025","20","191,389","191,389","23,379","24,647","19,705","29,949","38,230","27,126","17,797","7,394","2,883","272","7","192,202","192,202","22,572","24,355","18,674","31,134","38,274","24,541","17,991","8,311","5,196","1,126","28","192,524","192,524","22,122","25,585","19,199","29,268","38,244","28,501","18,533","7,793","2,972","302","5","194,001","194,001","21,419","25,151","18,611","30,072","38,939","25,932","18,700","8,685","5,262","1,192","38"
"경기도  (4100000000)","6,754,469","6,754,469","586,787","682,846","951,737","982,843","1,168,836","1,132,305","761,522","347,382","126,549","12,505","1,157","6,672,545","6,672,545","559,197","645,368","856,111","924,616","1,130,587","1,102,615","770,912","418,433","221,664","39,884","3,158","6,827,298","6,827,298","562,739","678,063","947,823","983,619","1,168,232","1,152,627","830,282","352,810","137,676","13,079","348","6,738,152","6,738,152","537,188","642,942","850,446","916,828","1,127,941","1,122,217","839,319","420,763","236,812","42,284","1,412","6,839,276","6,839,276","532,630","680,443","916,141","978,227","1,162,714","1,159,994","872,468","371,412","151,010","13,881","356","6,750,156","6,750,156","508,324","647,283","821,150","904,073","1,121,889","1,133,428","878,494","437,251","252,711","44,184","1,369","6,855,895","6,855,895","506,358","675,747","885,110","979,572","1,150,795","1,177,701","914,132","391,368","159,419","15,304","389","6,774,926","6,774,926","483,192","644,884","797,028","899,162","1,106,136","1,158,298","917,661","455,735","263,610","47,757","1,463"
